impl,msg_size,threads,duration_s,total_bytes,total_msgs,total_gbps,weighted_avg_oneway_us,cycles,context_switches,cycles_per_byte,ctx_switches_per_sec,cache_misses,L1_dcache_load_misses,LLC_load_misses,cache_misses_per_gb,cache_misses_per_mmsg,L1_misses_per_gb,L1_misses_per_mmsg,LLC_misses_per_gb,LLC_misses_per_mmsg
A3,4096,8,10,42757128192,12975537,34.496154,6.113547,221993040600,129,5.191953949833694,12.9,21070,4797307138,6271,529.1220712974118,1623.8248944918428,120472761.72322822,369719352.50155735,157.48099236383814,483.2940632823135
A1,16384,1,10,18340347904,1364512,14.800054,7.265,34307528222,80,1.8706040038922918,8.0,9495,1453316321,2845,555.8879620084223,6958.531694847682,85084891.82035473,1065081377.8112615,166.5614799277474,2084.994488872212
A2,16384,1,10,18668666880,1349773,15.068082,7.343,34391366125,59,1.8421972145126198,5.9,4295,1478929532,1300,247.0300190004783,3182.0165316686584,85061697.41334772,1095687594.8770647,74.77043648442883,963.1249106331213
A3,16384,1,10,18038865920,1370426,14.563158,7.231,34329531492,60,1.9030870146852337,6.0,4887,1457680432,1050,290.8928043015245,3566.0444270613666,86766676.61959028,1063669568.4407623,62.49998864673639,766.1851132421598
A1,16384,2,10,36036673536,2457872,29.094939,8.062852,63864983646,95,1.772221944464436,9.5,9008,2852023891,2013,268.4006430540704,3664.9589563655063,84978357.72091162,1160363066.5063112,59.97896252973398,819.001152216226
A2,16384,2,10,32960544768,2826466,26.577685,7.02028,63273921399,120,1.9196867601663543,12.0,8257,2668003590,2111,268.98482119068353,2921.315876433681,86914432.4321487,943936205.1409782,68.7691604134108,746.8690583930605
A3,16384,2,10,33757036544,2739083,27.231284,7.241449,63512562485,69,1.8814614370019032,6.9,8594,2736429725,3278,273.35744425990333,3137.546397827302,87040195.02243777,999031327.2726675,104.26643033325148,1196.7508834160922
A1,16384,4,10,62096261120,5191724,50.117127,7.636879,112335401963,85,1.809052589268035,8.5,14858,5023244436,5933,256.91814182116093,2861.8624564788115,86859781.02103953,967548435.9338055,102.59088271806083,1142.780317289594
A2,16384,4,10,62129029120,5245425,50.094185,7.566079,112052508586,84,1.8035451410253744,8.4,15256,5023633475,5332,263.66105343936204,2908.4392589732956,86820693.11167692,957717148.7534375,92.15002208565014,1016.5048589961729
A3,16384,4,10,62555783168,5361236,50.456419,7.400121,114569417928,72,1.8314760382794988,7.2,15138,5105899090,5232,259.83694725808795,2823.602617008466,87640456.63584682,952373499.3199329,89.80492192193923,975.8943646577021
A1,16384,8,10,123088338944,10076852,99.36287,7.867567,221900324162,167,1.8027729195610909,16.7,34322,9984790831,13743,299.40258516360797,3406.024024169453,87100757.15632217,990864094.362009,119.88490553882245,1363.8187799126156
A2,16384,8,10,123454291968,9954157,99.601894,7.969344,222085198920,173,1.7989265126364797,17.3,35121,9959526946,12655,305.4643625551622,3528.274669567699,86622833.91449137,1000539467.6816932,110.06666974561026,1271.328149636378
A3,16384,8,10,121091555328,10301212,97.696598,7.70048,222088773984,163,1.8340566638394347,16.3,25592,9854008774,9164,226.9291255312994,2484.3678588500075,87377367.69543497,956587319.4338686,81.25892882028867,889.6040582409138
